FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130901;0100;2,00001;;;
130901;0200;1,8;;;
130901;0300;0,700002;;;
130901;0400;1,7;;;
130901;0500;1,9;;;
130901;0600;1,5;;;
130901;0700;1,1;;;
130901;0800;0,700002;;;
130901;0900;0,1;;;
130901;1000;0,1;;;
130901;1100;0,400001;;;
130901;1200;0,500002;;;
130901;1300;0,200001;;;
130901;1400;0,1;;;
130901;1500;0,1;;;
130901;1600;0,200001;;;
130901;1700;0,200001;;;
130901;1800;0,400001;;;
130901;1900;0,400001;;;
130901;2000;0,400001;;;
130901;2100;0,600001;;;
130901;2200;1;;;
130901;2300;0,300001;;;
130902;0000;0,600001;;;
130902;0100;0,700002;;;
130902;0200;0,200001;;;
130902;0300;0,200001;;;
130902;0400;0,1;;;
130902;0500;0,1;;;
130902;0600;0,1;;;
130902;0700;0,1;;;
130902;0800;0,1;;;
130902;0900;0,1;;;
130902;1000;0,1;;;
130902;1100;0,1;;;
130902;1200;0,1;;;
130902;1300;0,1;;;
130902;1400;0,1;;;
130902;1500;0,200001;;;
130902;1600;0,1;;;
130902;1700;0,600001;;;
130902;1800;2,40001;;;
130902;1900;4,30002;;;
130902;2000;2,20001;;;
130902;2100;2,10001;;;
130902;2200;1,6;;;
130902;2300;3,60001;;;
130903;0000;3,10001;;;
130903;0100;1;;;
130903;0200;0,400001;;;
130903;0300;0,1;;;
130903;0400;0,1;;;
130903;0500;0,1;;;
130903;0600;0,1;;;
130903;0700;0,1;;;
130903;0800;0,700002;;;
130903;0900;0,300001;;;
130903;1000;0,200001;;;
130903;1100;0,200001;;;
130903;1200;0,200001;;;
130903;1300;0,1;;;
130903;1400;0,1;;;
130903;1500;0,1;;;
130903;1600;0,1;;;
130903;1700;0,1;;;
130903;1800;0,1;;;
130903;1900;0,200001;;;
130903;2000;0,1;;;
130903;2100;0,200001;;;
130903;2200;0,1;;;
130903;2300;0,1;;;
130904;0000;0,1;;;
130904;0100;0,1;;;
130904;0200;0,1;;;
130904;0300;0,1;;;
130904;0400;0,1;;;
130904;0500;0,1;;;
130904;0600;0,1;;;
130904;0700;0,300001;;;
130904;0800;0,800001;;;
130904;0900;1,1;;;
130904;1000;1,3;;;
130904;1100;1,5;;;
130904;1200;1,1;;;
130904;1300;0,300001;;;
130904;1400;0,200001;;;
130904;1500;0,300001;;;
130904;1600;0,300001;;;
130904;1700;0,1;;;
130904;1800;0,400001;;;
130904;1900;0,400001;;;
130904;2000;1;;;
130904;2100;0,900002;;;
130904;2200;1,4;;;
130904;2300;2,90001;;;
130905;0000;1,6;;;
130905;0100;1,7;;;
130905;0200;1;;;
130905;0300;0,1;;;
130905;0400;0,1;;;
130905;0500;0,300001;;;
130905;0600;0,800001;;;
130905;0700;0,400001;;;
130905;0800;0,400001;;;
130905;0900;0,600001;;;
130905;1000;0,900002;;;
130905;1100;1,2;;;
130905;1200;0,700002;;;
130905;1300;0,1;;;
130905;1400;0,1;;;
130905;1500;0,1;;;
130905;1600;0,1;;;
130905;1700;0,1;;;
130905;1800;0,1;;;
130905;1900;0,1;;;
130905;2000;0,1;;;
130905;2100;0,1;;;
130905;2200;0,400001;;;
130905;2300;1;;;
130906;0000;0,1;;;
130906;0100;0,200001;;;
130906;0200;0,1;;;
130906;0300;0,200001;;;
130906;0400;0,1;;;
130906;0500;0,300001;;;
130906;0600;0,1;;;
130906;0700;0,1;;;
130906;0800;0,1;;;
130906;0900;0,1;;;
130906;1000;0,1;;;
130906;1100;0,1;;;
130906;1200;0,400001;;;
130906;1300;0,200001;;;
130906;1400;0,600001;;;
130906;1500;0,300001;;;
130906;1600;0,500002;;;
130906;1700;1,1;;;
130906;1800;1,9;;;
130906;1900;1,8;;;
130906;2000;1,7;;;
130906;2100;1,4;;;
130906;2200;2,10001;;;
130906;2300;3,30001;;;
130907;0000;1,6;;;
130907;0100;3,00001;;;
130907;0200;1,8;;;
130907;0300;0,500002;;;
130907;0400;0,1;;;
130907;0500;0,1;;;
130907;0600;0,1;;;
130907;0700;0,1;;;
130907;0800;0,1;;;
130907;0900;0,1;;;
130907;1000;0,1;;;
130907;1100;0,1;;;
130907;1200;0,1;;;
130907;1300;0,1;;;
130907;1400;0,1;;;
130907;1500;0,1;;;
130907;1600;0,1;;;
130907;1700;0,1;;;
130907;1800;0,1;;;
130907;1900;0,500002;;;
130907;2000;0,1;;;
130907;2100;0,1;;;
130907;2200;0,1;;;
130907;2300;0,200001;;;
130908;0000;0,200001;;;
130908;0100;0,300001;;;
130908;0200;0,300001;;;
130908;0300;0,1;;;
130908;0400;0,1;;;
130908;0500;0,1;;;
130908;0600;0,1;;;
130908;0700;0,300001;;;
130908;0800;0,200001;;;
130908;0900;0,1;;;
130908;1000;1,4;;;
130908;1100;0,1;;;
130908;1200;0,1;;;
130908;1300;0,1;;;
130908;1400;0,1;;;
130908;1500;0,1;;;
130908;1600;0,1;;;
130908;1700;0,1;;;
130908;1800;0,200001;;;
130908;1900;0,1;;;
130908;2000;0,300001;;;
130908;2100;0,200001;;;
130908;2200;0,1;;;
130908;2300;0,200001;;;
130909;0000;0,400001;;;
130909;0100;1,2;;;
130909;0200;0,700002;;;
130909;0300;0,300001;;;
130909;0400;0,500002;;;
130909;0500;1,1;;;
130909;0600;0,900002;;;
130909;0700;1;;;
130909;0800;1,7;;;
130909;0900;0,500002;;;
130909;1000;2,90001;;;
130909;1100;2,30001;;;
130909;1200;2,90001;;;
130909;1300;1,8;;;
130909;1400;2,20001;;;
130909;1500;0,500002;;;
130909;1600;0,500002;;;
130909;1700;0,900002;;;
130909;1800;1;;;
130909;1900;1;;;
130909;2000;0,700002;;;
130909;2100;0,800001;;;
130909;2200;0,600001;;;
130909;2300;0,900002;;;
130910;0000;0,900002;;;
130910;0100;0,400001;;;
130910;0200;0,1;;;
130910;0300;0,1;;;
130910;0400;0,200001;;;
130910;0500;0,200001;;;
130910;0600;0,300001;;;
130910;0700;0,400001;;;
130910;0800;0,600001;;;
130910;0900;0,700002;;;
130910;1000;0,400001;;;
130910;1100;0,300001;;;
130910;1200;0,400001;;;
130910;1300;0,200001;;;
130910;1400;0,400001;;;
130910;1500;0,400001;;;
130910;1600;0,600001;;;
130910;1700;1;;;
130910;1800;1,1;;;
130910;1900;2,50001;;;
130910;2000;1,9;;;
130910;2100;1,7;;;
130910;2200;2,80001;;;
130910;2300;1,8;;;
130911;0000;2,30001;;;
130911;0100;1;;;
130911;0200;1;;;
130911;0300;0,600001;;;
130911;0400;0,700002;;;
130911;0500;0,700002;;;
130911;0600;2,10001;;;
130911;0700;2,60001;;;
130911;0800;0,400001;;;
130911;0900;0,400001;;;
130911;1000;0,1;;;
130911;1100;0,200001;;;
130911;1200;0,1;;;
130911;1300;0,400001;;;
130911;1400;0,400001;;;
130911;1500;0,400001;;;
130911;1600;0,500002;;;
130911;1700;0,700002;;;
130911;1800;1,2;;;
130911;1900;1,4;;;
130911;2000;0,900002;;;
130911;2100;1,3;;;
130911;2200;2,10001;;;
130911;2300;0,700002;;;
130912;0000;0,900002;;;
130912;0100;1;;;
130912;0200;1,3;;;
130912;0300;0,400001;;;
130912;0400;0,900002;;;
130912;0500;1;;;
130912;0600;3,40001;;;
130912;0700;2,40001;;;
130912;0800;0,1;;;
130912;0900;0,1;;;
130912;1000;0,1;;;
130912;1100;0,1;;;
130912;1200;0,1;;;
130912;1300;0,1;;;
130912;1400;0,1;;;
130912;1500;0,1;;;
130912;1600;0,200001;;;
130912;1700;0,400001;;;
130912;1800;0,600001;;;
130912;1900;0,800001;;;
130912;2000;1,5;;;
130912;2100;3,00001;;;
130912;2200;5,60001;;;
130912;2300;6,10001;;;
130913;0000;5,40001;;;
130913;0100;2,60001;;;
130913;0200;2,10001;;;
130913;0300;2,10001;;;
130913;0400;1,3;;;
130913;0500;1,9;;;
130913;0600;3,40001;;;
130913;0700;3,30001;;;
130913;0800;0,1;;;
130913;0900;0,1;;;
130913;1000;0,1;;;
130913;1100;0,1;;;
130913;1200;0,1;;;
130913;1300;0,1;;;
130913;1400;0,1;;;
130913;1500;0,1;;;
130913;1600;0,1;;;
130913;1700;0,1;;;
130913;1800;1,6;;;
130913;1900;2,60001;;;
130913;2000;6,00002;;;
130913;2100;8,40002;;;
130913;2200;8,50003;;;
130913;2300;3,30001;;;
130914;0000;3,00001;;;
130914;0100;4,80002;;;
130914;0200;3,50001;;;
130914;0300;4,30002;;;
130914;0400;2,40001;;;
130914;0500;4,10001;;;
130914;0600;4,20001;;;
130914;0700;3,80001;;;
130914;0800;0,300001;;;
130914;0900;0,200001;;;
130914;1000;0,300001;;;
130914;1100;0,1;;;
130914;1200;0,1;;;
130914;1300;0,1;;;
130914;1400;0,1;;;
130914;1500;0,1;;;
130914;1600;0,1;;;
130914;1700;0,1;;;
130914;1800;0,400001;;;
130914;1900;3,60001;;;
130914;2000;4,50002;;;
130914;2100;6,00002;;;
130914;2200;5,70001;;;
130914;2300;7,80002;;;
130915;0000;6,90001;;;
130915;0100;5,10001;;;
130915;0200;4,90001;;;
130915;0300;3,50001;;;
130915;0400;4,10001;;;
130915;0500;3,70001;;;
130915;0600;1,4;;;
130915;0700;1,5;;;
130915;0800;0,500002;;;
130915;0900;0,1;;;
130915;1000;0,1;;;
130915;1100;0,1;;;
130915;1200;0,1;;;
130915;1300;0,1;;;
130915;1400;0,1;;;
130915;1500;0,1;;;
130915;1600;0,1;;;
130915;1700;0,1;;;
130915;1800;0,700002;;;
130915;1900;3,40001;;;
130915;2000;5,10001;;;
130915;2100;7,60001;;;
130915;2200;6,30002;;;
130915;2300;3,80001;;;
130916;0000;3,50001;;;
130916;0100;2,40001;;;
130916;0200;2,40001;;;
130916;0300;1,2;;;
130916;0400;1,6;;;
130916;0500;1,3;;;
130916;0600;2,00001;;;
130916;0700;1;;;
130916;0800;0,200001;;;
130916;0900;0,1;;;
130916;1000;0,1;;;
130916;1100;0,1;;;
130916;1200;0,1;;;
130916;1300;0,1;;;
130916;1400;0,1;;;
130916;1500;0,1;;;
130916;1600;0,1;;;
130916;1700;0,1;;;
130916;1800;0,1;;;
130916;1900;0,300001;;;
130916;2000;0,900002;;;
130916;2100;1;;;
130916;2200;0,500002;;;
130916;2300;0,300001;;;
130917;0000;0,1;;;
130917;0100;0,1;;;
130917;0200;0,1;;;
130917;0300;0,1;;;
130917;0400;0,1;;;
130917;0500;0,1;;;
130917;0600;0,1;;;
130917;0700;0,1;;;
130917;0800;0,1;;;
130917;0900;0,1;;;
130917;1000;0,1;;;
130917;1100;0,1;;;
130917;1200;0,1;;;
130917;1300;0,1;;;
130917;1400;0,1;;;
130917;1500;0,1;;;
130917;1600;0,1;;;
130917;1700;0,1;;;
130917;1800;0,1;;;
130917;1900;0,1;;;
130917;2000;0,1;;;
130917;2100;0,1;;;
130917;2200;0,200001;;;
130917;2300;2,30001;;;
130918;0000;2,40001;;;
130918;0100;0,1;;;
130918;0200;0,1;;;
130918;0300;0,1;;;
130918;0400;0,1;;;
130918;0500;0,1;;;
130918;0600;0,1;;;
130918;0700;0,1;;;
130918;0800;0,1;;;
130918;0900;0,1;;;
130918;1000;0,1;;;
