FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0100;4,45834;;;
140101;0200;4,89169;;;
140101;0300;5,20834;;;
140101;0400;3,71668;;;
140101;0500;2,81668;;;
140101;0600;4,22501;;;
140101;0700;6,04169;;;
140101;0800;6,48335;;;
140101;0900;7,70001;;;
140101;1000;10,1;;;
140101;1100;8,21671;;;
140101;1200;11,4917;;;
140101;1300;9,90836;;;
140101;1400;9,78336;;;
140101;1500;5,82501;;;
140101;1600;6,47501;;;
140101;1700;7,65835;;;
140101;1800;8,4917;;;
140101;1900;7,95834;;;
140101;2000;10,9;;;
140101;2100;7,25002;;;
140101;2200;8,32503;;;
140101;2300;4,01669;;;
140102;0000;4,67502;;;
140102;0100;5,35001;;;
140102;0200;3,15001;;;
140102;0300;3,53334;;;
140102;0400;3,65834;;;
140102;0500;4,84168;;;
140102;0600;5,35001;;;
140102;0700;5,13335;;;
140102;0800;5,95001;;;
140102;0900;7,81669;;;
140102;1000;7,83334;;;
140102;1100;6,91669;;;
140102;1200;6,29169;;;
140102;1300;6,30002;;;
140102;1400;6,51669;;;
140102;1500;5,96668;;;
140102;1600;7,40835;;;
140102;1700;5,91669;;;
140102;1800;6,78335;;;
140102;1900;7,12502;;;
140102;2000;16,1501;;;
140102;2100;23,0417;;;
140102;2200;9,6667;;;
140102;2300;11,7167;;;
140103;0000;7,10001;;;
140103;0100;7,30834;;;
140103;0200;4,74168;;;
140103;0300;5,17502;;;
140103;0400;4,15002;;;
140103;0500;5,02502;;;
140103;0600;5,67502;;;
140103;0700;5,30834;;;
140103;0800;6,27502;;;
140103;0900;7,23335;;;
140103;1000;6,37502;;;
140103;1100;6,53335;;;
140103;1200;6,07501;;;
140103;1300;6,54169;;;
140103;1400;6,47501;;;
140103;1500;6,75002;;;
140103;1600;7,77502;;;
140103;1700;7,54169;;;
140103;1800;6,90002;;;
140103;1900;7,58334;;;
140103;2000;8,13336;;;
140103;2100;6,85001;;;
140103;2200;4,62502;;;
140103;2300;6,02502;;;
140104;0000;6,85001;;;
140104;0100;6,78335;;;
140104;0200;7,89169;;;
140104;0300;6,90835;;;
140104;0400;7,19169;;;
140104;0500;4,86668;;;
140104;0600;5,45001;;;
140104;0700;6,14169;;;
140104;0800;6,68334;;;
140104;0900;7,00835;;;
140104;1000;7,03335;;;
140104;1100;7,68334;;;
140104;1200;7,65002;;;
140104;1300;6,97501;;;
140104;1400;7,10001;;;
140104;1500;7,56669;;;
140104;1600;8,32503;;;
140104;1700;8,70003;;;
140104;1800;9,9167;;;
140104;1900;10,3583;;;
140104;2000;9,65836;;;
140104;2100;9,30836;;;
140104;2200;7,18334;;;
140104;2300;6,99168;;;
140105;0000;6,90002;;;
140105;0100;6,45001;;;
140105;0200;6,25835;;;
140105;0300;5,85001;;;
140105;0400;5,78335;;;
140105;0500;5,64169;;;
140105;0600;5,37502;;;
140105;0700;6,17502;;;
140105;0800;7,70001;;;
140105;0900;8,32503;;;
140105;1000;7,90835;;;
140105;1100;7,26669;;;
140105;1200;6,20001;;;
140105;1300;6,32501;;;
140105;1400;6,53335;;;
140105;1500;6,51669;;;
140105;1600;6,89169;;;
140105;1700;6,80834;;;
140105;1800;7,32501;;;
140105;1900;9,20003;;;
140105;2000;9,97504;;;
140105;2100;10,4667;;;
140105;2200;10,7333;;;
140105;2300;8,95836;;;
140106;0000;7,64169;;;
140106;0100;7,31669;;;
140106;0200;6,50002;;;
140106;0300;6,60835;;;
140106;0400;6,31669;;;
140106;0500;5,83334;;;
140106;0600;6,14169;;;
140106;0700;5,25835;;;
140106;0800;7,14169;;;
140106;0900;7,15835;;;
140106;1000;6,53335;;;
140106;1100;6,31669;;;
140106;1200;8,50836;;;
140106;1300;10,6333;;;
140106;1400;9,2917;;;
140106;1500;12,625;;;
