FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130901;0100;187;;;
130901;0200;153;;;
130901;0300;76;;;
130901;0400;123;;;
130901;0500;155;;;
130901;0600;163;;;
130901;0700;152;;;
130901;0800;137;;;
130901;0900;80;;;
130901;1000;63;;;
130901;1100;93;;;
130901;1200;91;;;
130901;1300;73;;;
130901;1400;73;;;
130901;1500;70;;;
130901;1600;85;;;
130901;1700;71;;;
130901;1800;89;;;
130901;1900;91;;;
130901;2000;86;;;
130901;2100;94;;;
130901;2200;139;;;
130901;2300;89;;;
130902;0000;103;;;
130902;0100;111;;;
130902;0200;40;;;
130902;0300;30;;;
130902;0400;13;;;
130902;0500;23;;;
130902;0600;33;;;
130902;0700;40;;;
130902;0800;48;;;
130902;0900;61;;;
130902;1000;50;;;
130902;1100;57;;;
130902;1200;63;;;
130902;1300;35;;;
130902;1400;82;;;
130902;1500;85;;;
130902;1600;92;;;
130902;1700;111;;;
130902;1800;243;;;
130902;1900;341;;;
130902;2000;250;;;
130902;2100;204;;;
130902;2200;204;;;
130902;2300;288;;;
130903;0000;323;;;
130903;0100;157;;;
130903;0200;88;;;
130903;0300;52;;;
130903;0400;32;;;
130903;0500;34;;;
130903;0600;48;;;
130903;0700;120;;;
130903;0800;149;;;
130903;0900;124;;;
130903;1000;84;;;
130903;1100;71;;;
130903;1200;83;;;
130903;1300;84;;;
130903;1400;88;;;
130903;1500;90;;;
130903;1600;64;;;
130903;1700;48;;;
130903;1800;45;;;
130903;1900;73;;;
130903;2000;71;;;
130903;2100;78;;;
130903;2200;71;;;
130903;2300;37;;;
130904;0000;30;;;
130904;0100;16;;;
130904;0200;33;;;
130904;0300;66;;;
130904;0400;39;;;
130904;0500;28;;;
130904;0600;42;;;
130904;0700;111;;;
130904;0800;124;;;
130904;0900;150;;;
130904;1000;203;;;
130904;1100;188;;;
130904;1200;193;;;
130904;1300;109;;;
130904;1400;101;;;
130904;1500;120;;;
130904;1600;110;;;
130904;1700;91;;;
130904;1800;103;;;
130904;1900;118;;;
130904;2000;145;;;
130904;2100;158;;;
130904;2200;166;;;
130904;2300;297;;;
130905;0000;223;;;
130905;0100;233;;;
130905;0200;172;;;
130905;0300;91;;;
130905;0400;64;;;
130905;0500;89;;;
130905;0600;133;;;
130905;0700;187;;;
130905;0800;140;;;
130905;0900;127;;;
130905;1000;146;;;
130905;1100;181;;;
130905;1200;143;;;
130905;1300;58;;;
130905;1400;42;;;
130905;1500;36;;;
130905;1600;46;;;
130905;1700;47;;;
130905;1800;61;;;
130905;1900;49;;;
130905;2000;61;;;
130905;2100;52;;;
130905;2200;98;;;
130905;2300;132;;;
130906;0000;49;;;
130906;0100;92;;;
130906;0200;67;;;
130906;0300;58;;;
130906;0400;43;;;
130906;0500;69;;;
130906;0600;87;;;
130906;0700;110;;;
130906;0800;84;;;
130906;0900;81;;;
130906;1000;96;;;
130906;1100;68;;;
130906;1200;101;;;
130906;1300;115;;;
130906;1400;141;;;
130906;1500;109;;;
130906;1600;131;;;
130906;1700;150;;;
130906;1800;212;;;
130906;1900;207;;;
130906;2000;212;;;
130906;2100;184;;;
130906;2200;187;;;
130906;2300;264;;;
130907;0000;210;;;
130907;0100;227;;;
130907;0200;199;;;
130907;0300;108;;;
130907;0400;37;;;
130907;0500;23;;;
130907;0600;27;;;
130907;0700;69;;;
130907;0800;50;;;
130907;0900;45;;;
130907;1000;58;;;
130907;1100;56;;;
130907;1200;76;;;
130907;1300;60;;;
130907;1400;66;;;
130907;1500;48;;;
130907;1600;38;;;
130907;1700;62;;;
130907;1800;60;;;
130907;1900;125;;;
130907;2000;68;;;
130907;2100;66;;;
130907;2200;35;;;
130907;2300;58;;;
130908;0000;76;;;
130908;0100;71;;;
130908;0200;68;;;
130908;0300;41;;;
130908;0400;17;;;
130908;0500;32;;;
130908;0600;48;;;
130908;0700;95;;;
130908;0800;131;;;
130908;0900;108;;;
130908;1000;184;;;
130908;1100;100;;;
130908;1200;58;;;
130908;1300;53;;;
130908;1400;59;;;
130908;1500;36;;;
130908;1600;38;;;
130908;1700;59;;;
130908;1800;108;;;
130908;1900;70;;;
130908;2000;75;;;
130908;2100;83;;;
130908;2200;69;;;
130908;2300;70;;;
130909;0000;95;;;
130909;0100;150;;;
130909;0200;104;;;
130909;0300;68;;;
130909;0400;75;;;
130909;0500;142;;;
130909;0600;279;;;
130909;0700;134;;;
130909;0800;216;;;
130909;0900;208;;;
130909;1000;211;;;
130909;1100;179;;;
130909;1200;217;;;
130909;1300;163;;;
130909;1400;198;;;
130909;1500;67;;;
130909;1600;46;;;
130909;1700;73;;;
130909;1800;95;;;
130909;1900;100;;;
130909;2000;76;;;
130909;2100;86;;;
130909;2200;81;;;
130909;2300;77;;;
130910;0000;77;;;
130910;0100;50;;;
130910;0200;21;;;
130910;0300;20;;;
130910;0400;21;;;
130910;0500;32;;;
130910;0600;58;;;
130910;0700;48;;;
130910;0800;62;;;
130910;0900;76;;;
130910;1000;60;;;
130910;1100;51;;;
130910;1200;56;;;
130910;1300;43;;;
130910;1400;72;;;
130910;1500;31;;;
130910;1600;50;;;
130910;1700;87;;;
130910;1800;101;;;
130910;1900;195;;;
130910;2000;183;;;
130910;2100;156;;;
130910;2200;193;;;
130910;2300;190;;;
