FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130901;0100;34,5001;;;
130901;0200;33,0001;;;
130901;0300;31,7001;;;
130901;0400;28,0001;;;
130901;0500;23,8;;;
130901;0600;21,2001;;;
130901;0700;20,1001;;;
130901;0800;19,6001;;;
130901;0900;20,1001;;;
130901;1000;23,0001;;;
130901;1100;24,9001;;;
130901;1200;25,3;;;
130901;1300;26,2001;;;
130901;1400;26,3;;;
130901;1500;24,6001;;;
130901;1600;23,3;;;
130901;1700;22,5001;;;
130901;1800;22,1001;;;
130901;1900;21,4001;;;
130901;2000;20,3;;;
130901;2100;19,4001;;;
130901;2200;18,7001;;;
130901;2300;18,1001;;;
130902;0000;15,1;;;
130902;0100;10,1;;;
130902;0200;6,00002;;;
130902;0300;4,80002;;;
130902;0400;7,00002;;;
130902;0500;8,50003;;;
130902;0600;9,50003;;;
130902;0700;10;;;
130902;0800;10,4;;;
130902;0900;10,9;;;
130902;1000;12;;;
130902;1100;13,4;;;
130902;1200;14,7;;;
130902;1300;15,9;;;
130902;1400;16,9001;;;
130902;1500;17,1001;;;
130902;1600;17,3;;;
130902;1700;17,5001;;;
130902;1800;17,9001;;;
130902;1900;19,9001;;;
130902;2000;24,9001;;;
130902;2100;28,9001;;;
130902;2200;27,7001;;;
130902;2300;27,4001;;;
130903;0000;28,4001;;;
130903;0100;30,0001;;;
130903;0200;29,7001;;;
130903;0300;25,1001;;;
130903;0400;21,8;;;
130903;0500;20,0001;;;
130903;0600;17,9001;;;
130903;0700;15,6;;;
130903;0800;14,5;;;
130903;0900;15,7;;;
130903;1000;17,3;;;
130903;1100;18,3;;;
130903;1200;19,2001;;;
130903;1300;20,0001;;;
130903;1400;20,7001;;;
130903;1500;20,3;;;
130903;1600;19,3;;;
130903;1700;18,1001;;;
130903;1800;16,3;;;
130903;1900;14,4;;;
130903;2000;12,9;;;
130903;2100;12,8;;;
130903;2200;13,1;;;
130903;2300;13,4;;;
130904;0000;12,8;;;
130904;0100;11,4;;;
130904;0200;10,5;;;
130904;0300;9,80002;;;
130904;0400;8,90002;;;
130904;0500;7,90001;;;
130904;0600;7,00002;;;
130904;0700;6,70001;;;
130904;0800;7,60001;;;
130904;0900;10,2;;;
130904;1000;12,4;;;
130904;1100;14,6;;;
130904;1200;19,6001;;;
130904;1300;22,2001;;;
130904;1400;23,0001;;;
130904;1500;22,0001;;;
130904;1600;21,4001;;;
130904;1700;21,2001;;;
130904;1800;19,9001;;;
130904;1900;18,0001;;;
130904;2000;17,6001;;;
130904;2100;18,0001;;;
130904;2200;18,9001;;;
130904;2300;20,1001;;;
130905;0000;21,4001;;;
130905;0100;23,8;;;
130905;0200;23,4001;;;
130905;0300;22,7001;;;
130905;0400;21,7001;;;
130905;0500;19,6001;;;
130905;0600;17,8;;;
130905;0700;17,1001;;;
130905;0800;17,9001;;;
130905;0900;19,3;;;
130905;1000;20,3;;;
130905;1100;22,0001;;;
130905;1200;24,6001;;;
130905;1300;28,1001;;;
130905;1400;28,5001;;;
130905;1500;26,8;;;
130905;1600;19,8;;;
130905;1700;14,4;;;
130905;1800;11,4;;;
130905;1900;9,10002;;;
130905;2000;7,10001;;;
130905;2100;5,40001;;;
130905;2200;4,20001;;;
130905;2300;3,40001;;;
130906;0000;3,30001;;;
130906;0100;6,70001;;;
130906;0200;9,50003;;;
130906;0300;10,8;;;
130906;0400;11,5;;;
130906;0500;11,6;;;
130906;0600;11,1;;;
130906;0700;11,3;;;
130906;0800;13,6;;;
130906;0900;16,2001;;;
130906;1000;16,6001;;;
130906;1100;17,0001;;;
130906;1200;18,6001;;;
130906;1300;19,6001;;;
130906;1400;21,0001;;;
130906;1500;21,8;;;
130906;1600;22,4001;;;
130906;1700;22,5001;;;
130906;1800;18,8;;;
130906;1900;13,8;;;
130906;2000;17,6001;;;
130906;2100;19,2001;;;
130906;2200;17,8;;;
130906;2300;16,3;;;
130907;0000;15,5;;;
130907;0100;16,1001;;;
130907;0200;16,0001;;;
130907;0300;14,2;;;
130907;0400;13,2;;;
130907;0500;11,2;;;
130907;0600;8,80002;;;
130907;0700;7,30002;;;
130907;0800;6,20001;;;
130907;0900;6,70001;;;
130907;1000;8,10002;;;
130907;1100;7,10001;;;
130907;1200;6,90001;;;
130907;1300;7,50002;;;
130907;1400;8,70003;;;
130907;1500;9,60002;;;
130907;1600;9,90002;;;
130907;1700;10,4;;;
130907;1800;10,9;;;
130907;1900;11,4;;;
130907;2000;10,9;;;
130907;2100;10,2;;;
130907;2200;8,80002;;;
130907;2300;7,20001;;;
130908;0000;6,50002;;;
130908;0100;6,20001;;;
130908;0200;6,00002;;;
130908;0300;5,40001;;;
130908;0400;4,80002;;;
130908;0500;4,10001;;;
130908;0600;3,50001;;;
130908;0700;3,00001;;;
130908;0800;3,00001;;;
130908;0900;4,00002;;;
130908;1000;6,00002;;;
130908;1100;7,70001;;;
130908;1200;10,8;;;
130908;1300;14,4;;;
130908;1400;14,7;;;
130908;1500;15,2;;;
130908;1600;16,2001;;;
130908;1700;15,3;;;
130908;1800;13,7;;;
130908;1900;12,6;;;
130908;2000;11,8;;;
130908;2100;11;;;
130908;2200;10,4;;;
130908;2300;10;;;
130909;0000;9,00003;;;
130909;0100;8,30002;;;
130909;0200;7,90001;;;
130909;0300;7,30002;;;
