FECHA (YYMMDD);HORA (HHMM);;
131001;0100;81,2994;
131001;0200;80,8597;
131001;0300;81,3312;
131001;0400;82,2185;
131001;0500;83,6138;
131001;0600;84,0256;
131001;0700;84,3429;
131001;0800;77,8018;
131001;0900;65,7395;
131001;1000;58,8027;
131001;1100;52,7524;
131001;1200;45,3;
131001;1300;39,9659;
131001;1400;36,5591;
131001;1500;35,3841;
131001;1600;56,2428;
131001;1700;58,2172;
131001;1800;67,1145;
131001;1900;79,9006;
131001;2000;80,7975;
131001;2100;80,1331;
131001;2200;82,4636;
131001;2300;85,4651;
131002;0000;83,8623;
131002;0100;84,0144;
131002;0200;84,1332;
131002;0300;89,4946;
131002;0400;91,6305;
131002;0500;89,66;
131002;0600;83,7406;
131002;0700;81,0028;
131002;0800;76,3981;
131002;0900;60,9756;
131002;1000;48,5746;
131002;1100;42,0565;
131002;1200;49,311;
131002;1300;45,8134;
131002;1400;43,7318;
131002;1500;52,6058;
131002;1600;49,2297;
131002;1700;56,3044;
131002;1800;58,9435;
131002;1900;61,6779;
131002;2000;66,3605;
131002;2100;69,5365;
131002;2200;71,6172;
131002;2300;75,0237;
131003;0000;77,7145;
131003;0100;78,7881;
131003;0200;80,7766;
131003;0300;84,9037;
131003;0400;85,3727;
131003;0500;86,9601;
131003;0600;87,1112;
131003;0700;78,7201;
131003;0800;69,0354;
131003;0900;55,4191;
131003;1000;49,4995;
131003;1100;44,4514;
131003;1200;40,4333;
131003;1300;39,1356;
131003;1400;42,2178;
131003;1500;45,3967;
131003;1600;49,9203;
131003;1700;57,6776;
131003;1800;64,3062;
131003;1900;76,0052;
131003;2000;80,5493;
131003;2100;85,2098;
131003;2200;85,3782;
131003;2300;83,8912;
131004;0000;84,0648;
131004;0100;82,783;
131004;0200;79,7235;
131004;0300;84,3209;
131004;0400;83,5227;
131004;0500;83,6028;
131004;0600;84,556;
131004;0700;84,7218;
131004;0800;83,3684;
131004;0900;74,4082;
131004;1000;59,9267;
131004;1100;54,9528;
131004;1200;50,4648;
131004;1300;54,8478;
131004;1400;55,3455;
131004;1500;56,3951;
131004;1600;53,6688;
131004;1700;55,7757;
131004;1800;59,99;
131004;1900;64,9724;
131004;2000;70,6927;
131004;2100;73,052;
131004;2200;70,4775;
131004;2300;72,8026;
131005;0000;73,7976;
131005;0100;73,1927;
131005;0200;70,4463;
131005;0300;72,9774;
131005;0400;75,5112;
131005;0500;79,3647;
131005;0600;83,9543;
131005;0700;83,4021;
131005;0800;78,5201;
131005;0900;71,655;
131005;1000;65,4003;
131005;1100;57,9305;
131005;1200;52,1385;
131005;1300;49,6071;
131005;1400;49,0583;
131005;1500;50,209;
131005;1600;42,0948;
131005;1700;43,0984;
131005;1800;58,4151;
131005;1900;64,9576;
131005;2000;64,3022;
131005;2100;63,3282;
131005;2200;62,1465;
131005;2300;63,3114;
131006;0000;60,6033;
131006;0100;62,9883;
131006;0200;64,1224;
131006;0300;63,8266;
131006;0400;65,8508;
131006;0500;67,3956;
131006;0600;69,699;
131006;0700;68,1023;
131006;0800;61,462;
131006;0900;55,653;
131006;1000;50,9607;
131006;1100;48,1888;
131006;1200;47,9186;
131006;1300;47,8104;
131006;1400;46,8942;
131006;1500;47,0437;
131006;1600;49,7364;
131006;1700;54,8285;
131006;1800;57,8293;
131006;1900;57,6326;
131006;2000;59,9719;
131006;2100;63,3627;
131006;2200;63,8774;
131006;2300;65,774;
131007;0000;67,7316;
131007;0100;69,8051;
131007;0200;67,5408;
131007;0300;69,4872;
131007;0400;72,2924;
131007;0500;75,8248;
131007;0600;75,1322;
131007;0700;65,5167;
131007;0800;59,1318;
131007;0900;52,1899;
131007;1000;43,6227;
131007;1100;38,545;
131007;1200;36,1687;
131007;1300;35,8769;
131007;1400;35,3124;
131007;1500;37,1501;
131007;1600;40,0984;
131007;1700;41,7357;
131007;1800;48,8191;
131007;1900;53,1119;
131007;2000;55,6356;
131007;2100;57,9178;
131007;2200;58,3748;
131007;2300;62,1252;
131008;0000;62,662;
131008;0100;67,4751;
131008;0200;70,4725;
131008;0300;70,3765;
131008;0400;73,207;
131008;0500;76,8882;
131008;0600;79,1316;
131008;0700;79,0923;
131008;0800;74,5508;
131008;0900;70,4651;
131008;1000;61,4894;
131008;1100;50,1625;
131008;1200;50,1131;
131008;1300;54,3313;
131008;1400;55,7455;
131008;1500;60,3701;
131008;1600;60,1934;
131008;1700;61,6796;
131008;1800;66,8215;
131008;1900;64,9362;
131008;2000;68,1323;
131008;2100;75,4546;
131008;2200;76,8295;
131008;2300;72,1571;
131009;0000;70,7211;
131009;0100;73,7902;
131009;0200;74,8505;
131009;0300;70,2175;
131009;0400;66,6674;
131009;0500;60,1318;
131009;0600;58,6377;
131009;0700;59,6612;
131009;0800;53,1321;
131009;0900;48,5782;
131009;1000;47,4532;
131009;1100;46,0031;
131009;1200;47,9449;
131009;1300;48,7769;
131009;1400;49,228;
131009;1500;50,3221;
131009;1600;55,6457;
