FECHA (YYMMDD);HORA (HHMM);;
150812;0100;;
150812;0200;;
150812;0300;;
150812;0400;984,417;
150812;0500;985,167;
150812;0600;986;
150812;0700;986,75;
150812;0800;987,583;
150812;0900;988;
150812;1000;988,25;
150812;1100;989;
150812;1200;989;
150812;1300;988,25;
150812;1400;988;
150812;1500;987,25;
150812;1600;987,583;
150812;1700;988;
150812;1800;988,417;
150812;1900;989;
150812;2000;989;
150812;2100;989;
150812;2200;989;
150812;2300;;
150813;0000;;
150813;0100;988;
150813;0200;988;
150813;0300;987,333;
150813;0400;987;
150813;0500;986,333;
150813;0600;986;
150813;0700;985,167;
150813;0800;985;
150813;0900;985;
150813;1000;984,667;
150813;1100;983,167;
150813;1200;982;
150813;1300;980,667;
150813;1400;979,25;
150813;1500;;
150813;1600;;
150813;1700;;
150813;1800;;
150813;1900;;
150813;2000;;
150813;2100;;
150813;2200;;
150813;2300;;
150814;0000;;
150814;0100;;
150814;0200;;
150814;0300;;
150814;0400;;
150814;0500;;
150814;0600;;
150814;0700;;
150814;0800;;
150814;0900;;
150814;1000;;
150814;1100;;
150814;1200;;
150814;1300;;
150814;1400;;
150814;1500;;
150814;1600;;
150814;1700;;
150814;1800;;
150814;1900;;
150814;2000;;
150814;2100;;
150814;2200;;
150814;2300;;
150815;0000;;
150815;0100;;
150815;0200;;
150815;0300;;
150815;0400;;
150815;0500;;
150815;0600;;
150815;0700;;
150815;0800;;
150815;0900;;
150815;1000;;
150815;1100;;
150815;1200;;
150815;1300;;
150815;1400;;
150815;1500;;
150815;1600;;
150815;1700;;
150815;1800;;
150815;1900;;
150815;2000;;
150815;2100;;
150815;2200;;
150815;2300;;
150816;0000;;
150816;0100;;
150816;0200;;
150816;0300;;
150816;0400;;
150816;0500;;
150816;0600;;
150816;0700;;
150816;0800;;
150816;0900;;
150816;1000;;
150816;1100;;
150816;1200;;
150816;1300;;
150816;1400;;
150816;1500;;
150816;1600;;
150816;1700;;
150816;1800;;
150816;1900;;
150816;2000;;
150816;2100;;
150816;2200;;
150816;2300;;
150817;0000;;
150817;0100;;
150817;0200;;
150817;0300;;
150817;0400;;
150817;0500;;
150817;0600;;
150817;0700;;
150817;0800;;
150817;0900;;
150817;1000;;
150817;1100;;
150817;1200;;
150817;1300;;
150817;1400;;
150817;1500;;
150817;1600;;
150817;1700;;
150817;1800;;
150817;1900;;
150817;2000;;
150817;2100;;
150817;2200;;
150817;2300;;
150818;0000;;
150818;0100;;
150818;0200;;
150818;0300;;
150818;0400;;
150818;0500;;
150818;0600;;
150818;0700;;
150818;0800;;
150818;0900;;
150818;1000;;
150818;1100;;
150818;1200;;
150818;1300;;
150818;1400;;
150818;1500;;
150818;1600;;
150818;1700;;
150818;1800;;
150818;1900;;
150818;2000;;
150818;2100;;
150818;2200;;
150818;2300;;
150819;0000;;
150819;0100;;
150819;0200;;
150819;0300;;
150819;0400;;
150819;0500;;
150819;0600;;
150819;0700;;
150819;0800;;
150819;0900;;
150819;1000;;
150819;1100;;
150819;1200;;
150819;1300;;
150819;1400;;
150819;1500;;
150819;1600;;
150819;1700;;
150819;1800;;
150819;1900;;
150819;2000;;
150819;2100;;
150819;2200;;
150819;2300;;
150820;0000;;
150820;0100;;
150820;0200;;
150820;0300;;
150820;0400;;
150820;0500;;
150820;0600;;
150820;0700;;
150820;0800;;
150820;0900;;
150820;1000;;
150820;1100;;
150820;1200;;
150820;1300;;
150820;1400;;
150820;1500;;
150820;1600;;
150820;1700;;
150820;1800;;
150820;1900;;
150820;2000;;
150820;2100;;
150820;2200;;
150820;2300;;
150821;0000;;
150821;0100;;
150821;0200;;
150821;0300;;
150821;0400;;
150821;0500;;
150821;0600;;
150821;0700;;
150821;0800;;
150821;0900;;
150821;1000;;
150821;1100;;
150821;1200;;
150821;1300;;
150821;1400;;
150821;1500;;
150821;1600;;
150821;1700;;
150821;1800;;
150821;1900;;
150821;2000;;
150821;2100;;
150821;2200;;
150821;2300;;
150822;0000;;
150822;0100;;
150822;0200;;
150822;0300;;
150822;0400;;
150822;0500;;
150822;0600;;
150822;0700;;
150822;0800;;
150822;0900;;
150822;1000;;
150822;1100;;
150822;1200;;
150822;1300;;
150822;1400;;
150822;1500;;
150822;1600;;
150822;1700;;
150822;1800;;
150822;1900;;
150822;2000;;
150822;2100;;
150822;2200;;
150822;2300;;
150823;0000;;
150823;0100;;
150823;0200;;
150823;0300;;
150823;0400;;
150823;0500;;
150823;0600;;
150823;0700;;
150823;0800;;
150823;0900;;
150823;1000;;
150823;1100;;
150823;1200;;
150823;1300;;
150823;1400;;
150823;1500;;
150823;1600;;
150823;1700;;
150823;1800;;
150823;1900;;
150823;2000;;
150823;2100;;
150823;2200;;
150823;2300;;
150824;0000;;
150824;0100;;
150824;0200;;
150824;0300;;
150824;0400;;
150824;0500;;
150824;0600;;
150824;0700;;
150824;0800;;
150824;0900;;
150824;1000;;
150824;1100;;
150824;1200;;
150824;1300;;
150824;1400;;
150824;1500;;
150824;1600;;
150824;1700;;
150824;1800;;
150824;1900;;
150824;2000;;
150824;2100;;
150824;2200;;
150824;2300;;
150825;0000;;
150825;0100;;
150825;0200;;
150825;0300;;
150825;0400;;
150825;0500;;
150825;0600;;
150825;0700;;
150825;0800;;
150825;0900;;
150825;1000;;
150825;1100;;
150825;1200;;
150825;1300;;
150825;1400;;
150825;1500;;
150825;1600;;
150825;1700;;
150825;1800;;
150825;1900;;
150825;2000;;
150825;2100;;
150825;2200;;
150825;2300;;
150826;0000;;
150826;0100;;
150826;0200;;
150826;0300;;
150826;0400;;
150826;0500;;
150826;0600;;
150826;0700;;
150826;0800;966;
150826;0900;967;
150826;1000;968;
150826;1100;968;
150826;1200;968;
150826;1300;968;
150826;1400;968;
150826;1500;969;
150826;1600;969;
150826;1700;970;
150826;1800;971;
150826;1900;972;
150826;2000;972;
150826;2100;972;
150826;2200;972;
150826;2300;972;
150827;0000;972;
150827;0100;972;
150827;0200;971;
150827;0300;969;
150827;0400;968;
150827;0500;967;
150827;0600;966;
150827;0700;965;
150827;0800;964;
150827;0900;963;
150827;1000;962;
150827;1100;961;
150827;1200;959;
150827;1300;958;
150827;1400;956;
150827;1500;955;
150827;1600;955;
150827;1700;955;
150827;1800;954;
150827;1900;954;
150827;2000;953;
150827;2100;953;
150827;2200;952;
150827;2300;952;
150828;0000;952;
150828;0100;952;
150828;0200;952;
150828;0300;952;
150828;0400;951;
150828;0500;951;
150828;0600;951;
150828;0700;951;
150828;0800;952;
150828;0900;952;
150828;1000;954;
150828;1100;953;
150828;1200;953;
150828;1300;952;
150828;1400;951;
150828;1500;952;
150828;1600;954;
150828;1700;954;
150828;1800;955;
150828;1900;955;
150828;2000;955;
150828;2100;955;
150828;2200;955;
