FECHA (YYMMDD);HORA (HHMM);;
131001;0100;1,5;
131001;0200;1,8;
131001;0300;1,3;
131001;0400;1,9;
131001;0500;1,5;
131001;0600;2,3;
131001;0700;3;
131001;0800;3;
131001;0900;4,6;
131001;1000;4,6;
131001;1100;3,6;
131001;1200;3,4;
131001;1300;4,1;
131001;1400;5,39999;
131001;1500;4;
131001;1600;5,2;
131001;1700;3,9;
131001;1800;3,4;
131001;1900;1,6;
131001;2000;1,1;
131001;2100;1,2;
131001;2200;1,1;
131001;2300;0,7;
131002;0000;0,799999;
131002;0100;0,9;
131002;0200;1,3;
131002;0300;0,9;
131002;0400;1,3;
131002;0500;1,5;
131002;0600;1,4;
131002;0700;1,6;
131002;0800;2,4;
131002;0900;1,6;
131002;1000;3,7;
131002;1100;4;
131002;1200;5;
131002;1300;4,8;
131002;1400;4,6;
131002;1500;5,6;
131002;1600;5,6;
131002;1700;4,3;
131002;1800;3,8;
131002;1900;2,6;
131002;2000;2,3;
131002;2100;1,4;
131002;2200;1,4;
131002;2300;1;
131003;0000;1,1;
131003;0100;1,1;
131003;0200;1,3;
131003;0300;1;
131003;0400;1;
131003;0500;1,5;
131003;0600;1,1;
131003;0700;1,3;
131003;0800;1,6;
131003;0900;1,4;
131003;1000;1,9;
131003;1100;2;
131003;1200;2,5;
131003;1300;2,6;
131003;1400;3,6;
131003;1500;4,7;
131003;1600;3,6;
131003;1700;2,4;
131003;1800;2,5;
131003;1900;2;
131003;2000;1,3;
131003;2100;1,2;
131003;2200;0,799999;
131003;2300;1;
131004;0000;1,5;
131004;0100;1,6;
131004;0200;2,3;
131004;0300;2,2;
131004;0400;1,3;
131004;0500;1,5;
131004;0600;1,6;
131004;0700;0,9;
131004;0800;2;
131004;0900;2,9;
131004;1000;5,7;
131004;1100;5,1;
131004;1200;5;
131004;1300;5,8;
131004;1400;6,7;
131004;1500;5,8;
131004;1600;5,6;
131004;1700;4,8;
131004;1800;3,9;
131004;1900;3,4;
131004;2000;3,7;
131004;2100;1,8;
131004;2200;2,5;
131004;2300;2,3;
131005;0000;4,39999;
131005;0100;6,6;
131005;0200;5,3;
131005;0300;5;
131005;0400;3;
131005;0500;3,2;
131005;0600;2,4;
131005;0700;1,2;
131005;0800;1,9;
131005;0900;3,3;
131005;1000;4,39999;
131005;1100;4,2;
131005;1200;4,7;
131005;1300;4,7;
131005;1400;5,5;
131005;1500;6,3;
131005;1600;6,3;
131005;1700;5,39999;
131005;1800;4,6;
131005;1900;3,4;
131005;2000;3,3;
131005;2100;3,3;
131005;2200;4;
131005;2300;3,8;
131006;0000;3,6;
131006;0100;3,3;
131006;0200;3;
131006;0300;2,3;
131006;0400;3,9;
131006;0500;3,9;
131006;0600;2,8;
131006;0700;2,1;
131006;0800;5,3;
131006;0900;5,89999;
131006;1000;6,7;
131006;1100;6,1;
131006;1200;5;
131006;1300;4,5;
131006;1400;5,3;
131006;1500;6,39999;
131006;1600;5,1;
131006;1700;3,8;
131006;1800;3,5;
131006;1900;2,7;
131006;2000;2,4;
131006;2100;1,3;
131006;2200;1,8;
131006;2300;1,6;
131007;0000;2,4;
131007;0100;2,7;
131007;0200;2,1;
131007;0300;1,8;
131007;0400;1,6;
131007;0500;1,2;
131007;0600;1,1;
131007;0700;2;
131007;0800;1,6;
131007;0900;3;
131007;1000;4,6;
131007;1100;5,2;
131007;1200;5,8;
131007;1300;5,3;
131007;1400;4,8;
131007;1500;4,3;
131007;1600;3,8;
131007;1700;2,6;
131007;1800;2,9;
131007;1900;1,5;
131007;2000;1,3;
131007;2100;1;
131007;2200;0,9;
131007;2300;1,1;
131008;0000;1;
131008;0100;1,1;
131008;0200;1,2;
131008;0300;1,2;
131008;0400;1,3;
