FECHA (YYMMDD);HORA (HHMM);;
131001;0100;6,30872;
131001;0200;7,66417;
131001;0300;8,56134;
131001;0400;6,1841;
131001;0500;5,52499;
131001;0600;4,96037;
131001;0700;4,77869;
131001;0800;5,32068;
131001;0900;5,14993;
131001;1000;4,75593;
131001;1100;6,69218;
131001;1200;9,43718;
131001;1300;10,3819;
131001;1400;10,0238;
131001;1500;10,6686;
131001;1600;7,8922;
131001;1700;7,87256;
131001;1800;6,62453;
131001;1900;4,54915;
131001;2000;3,9621;
131001;2100;3,83875;
131001;2200;2,97775;
131001;2300;2,00813;
131002;0000;2,65631;
131002;0100;3,18457;
131002;0200;3,20455;
131002;0300;2,64374;
131002;0400;2,28861;
131002;0500;2,27238;
131002;0600;2,35792;
131002;0700;2,81775;
131002;0800;4,02087;
131002;0900;5,10278;
131002;1000;6,21787;
131002;1100;8,14391;
131002;1200;6,80536;
131002;1300;6,40845;
131002;1400;4,31619;
131002;1500;6,80827;
131002;1600;6,71052;
131002;1700;6,46727;
131002;1800;5,25462;
131002;1900;4,65868;
131002;2000;4,03909;
131002;2100;3,71861;
131002;2200;3,15135;
131002;2300;2,88839;
131003;0000;2,68838;
131003;0100;1,76652;
131003;0200;1,24996;
131003;0300;0,898659;
131003;0400;0,202453;
131003;0500;0,402552;
131003;0600;-0,223177;
131003;0700;1,14897;
131003;0800;3,91909;
131003;0900;6,53464;
131003;1000;8,57204;
131003;1100;10,2569;
131003;1200;11,7987;
131003;1300;13,0077;
131003;1400;13,7014;
131003;1500;13,8145;
131003;1600;13,2436;
131003;1700;12,0053;
131003;1800;10,8057;
131003;1900;9,40541;
131003;2000;8,77138;
131003;2100;7,74889;
131003;2200;7,57806;
131003;2300;8,31712;
131004;0000;9,03786;
131004;0100;6,52538;
131004;0200;7,80669;
131004;0300;7,03857;
131004;0400;6,82168;
131004;0500;6,89368;
131004;0600;6,9866;
131004;0700;7,19958;
131004;0800;9,7625;
131004;0900;9,11621;
131004;1000;10,6812;
131004;1100;11,2381;
131004;1200;11,9191;
131004;1300;11,6601;
131004;1400;11,6957;
131004;1500;11,4176;
131004;1600;11,8819;
131004;1700;11,464;
131004;1800;9,81134;
131004;1900;11,6237;
131004;2000;8,48607;
131004;2100;8,21126;
131004;2200;8,31221;
131004;2300;7,8885;
131005;0000;7,83643;
131005;0100;7,77715;
131005;0200;7,89;
131005;0300;7,80222;
131005;0400;7,68707;
131005;0500;7,48235;
131005;0600;7,23396;
131005;0700;7,72127;
131005;0800;8,61139;
131005;0900;10,4638;
131005;1000;11,3915;
131005;1100;12,6344;
131005;1200;13,8199;
131005;1300;14,3927;
131005;1400;13,808;
131005;1500;12,7478;
131005;1600;13,2311;
131005;1700;12,4396;
131005;1800;10,4849;
131005;1900;9,1375;
131005;2000;8,90437;
131005;2100;8,7048;
131005;2200;8,60138;
131005;2300;8,26659;
131006;0000;8,1442;
131006;0100;7,63627;
131006;0200;7,04739;
131006;0300;6,81331;
131006;0400;6,75053;
131006;0500;6,62447;
131006;0600;6,39043;
131006;0700;6,89735;
131006;0800;8,41736;
131006;0900;9,86591;
131006;1000;11,5757;
131006;1100;12,1197;
131006;1200;12,4388;
131006;1300;12,8481;
131006;1400;13,6942;
131006;1500;13,899;
131006;1600;13,2507;
131006;1700;12,1384;
131006;1800;11,3178;
131006;1900;11,074;
131006;2000;10,7003;
131006;2100;9,33887;
131006;2200;10,958;
131006;2300;10,0072;
131007;0000;9,28624;
131007;0100;9,20125;
131007;0200;9,32545;
131007;0300;8,99278;
131007;0400;8,34508;
131007;0500;7,73134;
131007;0600;7,84154;
131007;0700;9,5939;
131007;0800;11,2666;
131007;0900;13,349;
131007;1000;15,2371;
131007;1100;16,4807;
131007;1200;16,9193;
131007;1300;17,4413;
131007;1400;17,8824;
131007;1500;17,3018;
131007;1600;16,1776;
131007;1700;16,0618;
131007;1800;14,0308;
131007;1900;12,6125;
131007;2000;11,5867;
131007;2100;10,5897;
131007;2200;10,1075;
131007;2300;9,07973;
131008;0000;8,58806;
131008;0100;6,98375;
131008;0200;6,33252;
131008;0300;6,37299;
131008;0400;6,54041;
131008;0500;6,56013;
131008;0600;7,68259;
131008;0700;9,84145;
131008;0800;8,8369;
131008;0900;10,6635;
131008;1000;12,0798;
131008;1100;12,6262;
131008;1200;12,6078;
131008;1300;11,8704;
131008;1400;11,0752;
131008;1500;9,59013;
131008;1600;9,54855;
131008;1700;9,26759;
131008;1800;8,20911;
131008;1900;8,17986;
131008;2000;7,7474;
131008;2100;7,74087;
131008;2200;6,34048;
131008;2300;6,37131;
131009;0000;6,62421;
131009;0100;5,96576;
131009;0200;5,66959;
131009;0300;5,95934;
131009;0400;5,89046;
131009;0500;6,23472;
131009;0600;5,93748;
131009;0700;6,03082;
131009;0800;7,03286;
131009;0900;8,09227;
131009;1000;9,35637;
131009;1100;10,4625;
131009;1200;11,1217;
131009;1300;11,0526;
131009;1400;10,9339;
131009;1500;10,531;
131009;1600;9,7636;
131009;1700;9,01251;
131009;1800;;
131009;1900;7,70132;
131009;2000;7,08677;
131009;2100;7,53142;
131009;2200;7,74691;
131009;2300;7,27549;
131010;0000;7,14207;
131010;0100;6,85524;
131010;0200;6,67252;
131010;0300;5,90464;
131010;0400;5,87943;
131010;0500;4,49194;
131010;0600;4,76643;
131010;0700;6,34353;
131010;0800;5,91388;
131010;0900;7,93625;
131010;1000;10,0738;
131010;1100;11,1764;
131010;1200;12,2176;
131010;1300;12,868;
131010;1400;13,5319;
131010;1500;13,8547;
131010;1600;13,8828;
131010;1700;13,2262;
131010;1800;11,6932;
131010;1900;9,80652;
131010;2000;8,14287;
131010;2100;5,89465;
131010;2200;5,74119;
131010;2300;5,1152;
131011;0000;4,62993;
131011;0100;3,99931;
131011;0200;3,54458;
131011;0300;3,63219;
131011;0400;2,72163;
131011;0500;1,85654;
131011;0600;3,37222;
131011;0700;6,0202;
131011;0800;7,83133;
131011;0900;9,9254;
131011;1000;12,1699;
131011;1100;14,0421;
131011;1200;15,039;
131011;1300;14,9912;
131011;1400;15,468;
131011;1500;15,8512;
131011;1600;15,3522;
131011;1700;14,7846;
131011;1800;13,2575;
131011;1900;11,2087;
131011;2000;10,2105;
131011;2100;9,19072;
131011;2200;8,42557;
131011;2300;7,86258;
131012;0000;6,95908;
